Time,Data
65665,-0.0003416069
65666,-0.0005232836
65667,-0.0006425107
65668,-0.0002751643
65669,7.30196e-05
65670,-1.96938e-05
65671,-0.0001603704
65672,-0.0004920834
65673,-0.0004402859
65674,-0.000320558
65675,-0.0003290073
65676,-0.0001972307
65677,-0.0001476255
65678,-0.0001539146
65679,-0.000185552
65680,-0.000129388
65681,-8.87353e-05
65682,-2.5858e-06
65683,-1.2557e-06
65684,0.0001319601
65685,0.0002064061
65686,0.0003962167
65687,0.0006914143
65688,0.0007812824
65689,0.0006642566
65690,0.0004569146
65691,0.0003011174
65692,-0.0004081191
65693,-0.0006810348
65694,-8.7069e-05
65695,0.0002614831
65696,0.0002819495
65697,-0.0001542698
65698,-0.0002328992
65699,-0.000171034
65700,-0.0004689616
65701,-0.0004847034
65702,-0.0003655043
65703,-0.0002070161
65704,-0.0001612039
65705,-0.0001145904
65706,-0.0001165294
65707,-5.55803e-05
65708,2.64772e-05
65709,0.0001996905
65710,0.0003600162
65711,0.0004364507
65712,0.0007522508
65713,0.0008255512
65714,0.0006588844
65715,0.0001989504
65716,-0.0005685445
65717,-0.0006994767
65718,-0.0003994588
65719,-0.0006922004
65720,-0.0003890667
65721,-0.0002248688
65722,-0.0003702347
65723,-0.0002206483
65724,-0.0002761172
65725,-0.0002964515
65726,-0.0001871422
65727,-0.0001976898
65728,-0.0001011005
65729,7.84483e-05
65730,8.65912e-05
65731,1.1322e-05
65732,3.01878e-05
65733,7.63278e-05
65734,0.0001993415
65735,0.0004862698
65736,0.0006811112
65737,0.0006929236
65738,0.0006879132
65739,0.0006553078
65740,0.0004822334
65741,-0.0003616538
65742,-0.0005508608
65743,-0.0004013528
65744,-0.0005456576
65745,-0.000447212
65746,-0.000382018
65747,-0.0002297894
65748,8.56868e-05
65749,-3.77034e-05
65750,-0.0002746706
65751,-0.0006932889
65752,-0.0009004744
65753,-0.0004499827
65754,-7.4234e-05
65755,-0.0001005179
65756,-0.0002001391
65757,-0.0001110894
65758,-0.0001343608
65759,-0.0001239117
65760,3.30343e-05
65761,-4.30017e-05
65762,3.79757e-05
65763,6.2789e-06
65764,-2.17908e-05
65765,6.35184e-05
65766,1.52163e-05
65767,8.42205e-05
65768,-3.82235e-05
65769,3.34349e-05
65770,2.21512e-05
65771,0.0001034856
65772,0.0002125067
65773,0.0001635087
65774,0.0004585527
65775,0.0005557211
65776,0.0003611215
65777,0.0003838134
65778,0.0006141316
65779,0.0008763089
65780,0.0006929764
65781,0.0007412445
65782,0.0006156258
65783,0.0006474268
65784,8.61364e-05
65785,-0.0003896372
65786,-0.0007132112
65787,-0.0005584719
65788,-0.0005543918
65789,-0.0006605788
65790,-0.0003991973
65791,-0.0003020545
65792,-0.0002919292
65793,-0.000245692
65794,-0.0004471078
65795,-0.0004860485
65796,-0.0003898028
