Frame,Whisker_Count,Filter_Type
4952,3,Less_Than_5
4953,3,Less_Than_5
4954,3,Less_Than_5
4955,3,Less_Than_5
4956,3,Less_Than_5
4957,3,Less_Than_5
4958,3,Less_Than_5
4961,6,More_Than_5
4962,6,More_Than_5
4965,6,More_Than_5
4966,6,More_Than_5
4967,6,More_Than_5
4968,6,More_Than_5
4972,6,More_Than_5
4973,6,More_Than_5
4974,6,More_Than_5
4975,6,More_Than_5
4976,6,More_Than_5
4977,6,More_Than_5
5131,6,More_Than_5
5133,6,More_Than_5
5137,6,More_Than_5
5138,6,More_Than_5
5184,6,More_Than_5
5532,6,More_Than_5
5706,6,More_Than_5
5819,6,More_Than_5
5850,6,More_Than_5
5861,6,More_Than_5
5865,6,More_Than_5
5890,6,More_Than_5
5927,6,More_Than_5
5932,6,More_Than_5
5938,6,More_Than_5
6354,6,More_Than_5
6356,6,More_Than_5
6371,6,More_Than_5
6372,6,More_Than_5
6418,6,More_Than_5
6419,6,More_Than_5
6469,6,More_Than_5
6510,6,More_Than_5
6536,6,More_Than_5
6539,6,More_Than_5
6562,6,More_Than_5
6563,6,More_Than_5
6567,6,More_Than_5
6601,6,More_Than_5
6614,6,More_Than_5
6615,6,More_Than_5
6683,6,More_Than_5
6694,6,More_Than_5
6697,6,More_Than_5
6874,6,More_Than_5
6879,6,More_Than_5
6980,6,More_Than_5
6981,6,More_Than_5
6982,6,More_Than_5
6984,6,More_Than_5
6985,6,More_Than_5
6986,6,More_Than_5
7040,6,More_Than_5
7041,6,More_Than_5
7042,6,More_Than_5
7085,6,More_Than_5
7086,6,More_Than_5
7087,6,More_Than_5
7088,6,More_Than_5
7089,6,More_Than_5
7143,6,More_Than_5
7493,6,More_Than_5
7497,6,More_Than_5
7499,6,More_Than_5
7501,6,More_Than_5
7502,6,More_Than_5
7532,6,More_Than_5
7533,6,More_Than_5
7534,6,More_Than_5
7537,6,More_Than_5
7539,6,More_Than_5
7541,6,More_Than_5
7542,6,More_Than_5
7543,6,More_Than_5
7544,6,More_Than_5
7545,6,More_Than_5
7594,6,More_Than_5
7595,6,More_Than_5
7596,6,More_Than_5
7597,6,More_Than_5
7598,6,More_Than_5
7599,6,More_Than_5
7607,6,More_Than_5
7614,6,More_Than_5
7617,4,Less_Than_5
7618,4,Less_Than_5
7619,4,Less_Than_5
7620,4,Less_Than_5
7621,4,Less_Than_5
7622,4,Less_Than_5
7623,4,Less_Than_5
7624,6,More_Than_5
7625,4,Less_Than_5
7626,4,Less_Than_5
7627,4,Less_Than_5
7628,4,Less_Than_5
7629,4,Less_Than_5
7630,4,Less_Than_5
7631,3,Less_Than_5
7632,3,Less_Than_5
7633,3,Less_Than_5
7634,3,Less_Than_5
7635,3,Less_Than_5
7636,3,Less_Than_5
7637,3,Less_Than_5
7638,3,Less_Than_5
7639,3,Less_Than_5
7640,3,Less_Than_5
7641,3,Less_Than_5
7642,3,Less_Than_5
7643,3,Less_Than_5
7644,3,Less_Than_5
7645,3,Less_Than_5
7646,3,Less_Than_5
7647,3,Less_Than_5
7651,4,Less_Than_5
7652,4,Less_Than_5
7653,4,Less_Than_5
7654,4,Less_Than_5
7655,4,Less_Than_5
7656,3,Less_Than_5
7658,3,Less_Than_5
7659,4,Less_Than_5
7660,3,Less_Than_5
7661,2,Less_Than_5
7662,2,Less_Than_5
7663,2,Less_Than_5
7664,2,Less_Than_5
7665,2,Less_Than_5
7666,3,Less_Than_5
7667,2,Less_Than_5
7668,2,Less_Than_5
7669,2,Less_Than_5
7670,2,Less_Than_5
7671,2,Less_Than_5
7672,2,Less_Than_5
7673,2,Less_Than_5
7674,2,Less_Than_5
7675,2,Less_Than_5
7676,2,Less_Than_5
7677,2,Less_Than_5
7678,2,Less_Than_5
7679,2,Less_Than_5
7680,2,Less_Than_5
7681,2,Less_Than_5
7682,2,Less_Than_5
7683,2,Less_Than_5
7684,2,Less_Than_5
7685,2,Less_Than_5
7686,2,Less_Than_5
7687,2,Less_Than_5
7688,2,Less_Than_5
7689,2,Less_Than_5
7690,2,Less_Than_5
7691,2,Less_Than_5
7692,2,Less_Than_5
7693,2,Less_Than_5
7694,4,Less_Than_5
7695,2,Less_Than_5
7696,2,Less_Than_5
7697,2,Less_Than_5
7698,2,Less_Than_5
7699,2,Less_Than_5
7700,2,Less_Than_5
7701,3,Less_Than_5
7702,3,Less_Than_5
7703,2,Less_Than_5
7704,2,Less_Than_5
7705,3,Less_Than_5
7706,3,Less_Than_5
7707,2,Less_Than_5
7708,2,Less_Than_5
7709,2,Less_Than_5
7710,2,Less_Than_5
7711,4,Less_Than_5
7712,2,Less_Than_5
7713,3,Less_Than_5
7714,4,Less_Than_5
7715,2,Less_Than_5
7716,3,Less_Than_5
7717,2,Less_Than_5
7718,2,Less_Than_5
7719,2,Less_Than_5
7720,2,Less_Than_5
7721,3,Less_Than_5
7722,3,Less_Than_5
7723,3,Less_Than_5
7724,4,Less_Than_5
7727,6,More_Than_5
7728,6,More_Than_5
7731,6,More_Than_5
7732,6,More_Than_5
7816,6,More_Than_5
7831,6,More_Than_5
7832,6,More_Than_5
7833,6,More_Than_5
7836,6,More_Than_5
8026,6,More_Than_5
8030,6,More_Than_5
8721,6,More_Than_5
9273,6,More_Than_5
9284,6,More_Than_5
9285,6,More_Than_5
9286,6,More_Than_5
9287,6,More_Than_5
9288,6,More_Than_5
9291,6,More_Than_5
9293,6,More_Than_5
9294,6,More_Than_5
9295,6,More_Than_5
9296,6,More_Than_5
9297,6,More_Than_5
9298,6,More_Than_5
9299,6,More_Than_5
9300,6,More_Than_5
9301,6,More_Than_5
9302,6,More_Than_5
9303,6,More_Than_5
9304,6,More_Than_5
9307,6,More_Than_5
9311,6,More_Than_5
9315,6,More_Than_5
9316,6,More_Than_5
9317,6,More_Than_5
9318,6,More_Than_5
9319,6,More_Than_5
9320,6,More_Than_5
9321,6,More_Than_5
9322,6,More_Than_5
9323,6,More_Than_5
9324,6,More_Than_5
9325,6,More_Than_5
9332,6,More_Than_5
9343,6,More_Than_5
9344,6,More_Than_5
9345,6,More_Than_5
9363,4,Less_Than_5
9367,4,Less_Than_5
9368,4,Less_Than_5
9369,4,Less_Than_5
9370,3,Less_Than_5
9371,3,Less_Than_5
9372,4,Less_Than_5
9373,4,Less_Than_5
9374,3,Less_Than_5
9375,3,Less_Than_5
9376,3,Less_Than_5
9377,4,Less_Than_5
9378,3,Less_Than_5
9379,3,Less_Than_5
9380,3,Less_Than_5
9381,3,Less_Than_5
9382,2,Less_Than_5
9383,3,Less_Than_5
9384,3,Less_Than_5
9385,2,Less_Than_5
9386,3,Less_Than_5
9387,2,Less_Than_5
9388,2,Less_Than_5
9389,4,Less_Than_5
9390,3,Less_Than_5
9391,3,Less_Than_5
9392,2,Less_Than_5
9393,2,Less_Than_5
9394,3,Less_Than_5
9395,2,Less_Than_5
9396,3,Less_Than_5
9397,2,Less_Than_5
9398,2,Less_Than_5
9399,2,Less_Than_5
9400,3,Less_Than_5
9401,2,Less_Than_5
9402,2,Less_Than_5
9403,2,Less_Than_5
9404,2,Less_Than_5
9405,2,Less_Than_5
9406,2,Less_Than_5
9407,2,Less_Than_5
9408,2,Less_Than_5
9409,2,Less_Than_5
9410,2,Less_Than_5
9411,2,Less_Than_5
9412,3,Less_Than_5
9413,3,Less_Than_5
9414,3,Less_Than_5
9415,3,Less_Than_5
9416,3,Less_Than_5
9417,4,Less_Than_5
9418,4,Less_Than_5
9419,3,Less_Than_5
9420,4,Less_Than_5
9421,4,Less_Than_5
9422,4,Less_Than_5
9423,4,Less_Than_5
9424,4,Less_Than_5
9425,7,More_Than_5
9427,6,More_Than_5
9429,7,More_Than_5
9432,4,Less_Than_5
9433,4,Less_Than_5
9434,4,Less_Than_5
9435,3,Less_Than_5
9436,3,Less_Than_5
9438,6,More_Than_5
9440,3,Less_Than_5
9441,3,Less_Than_5
9442,4,Less_Than_5
9443,4,Less_Than_5
9445,7,More_Than_5
9446,6,More_Than_5
9447,6,More_Than_5
9448,4,Less_Than_5
9450,4,Less_Than_5
9451,4,Less_Than_5
9452,3,Less_Than_5
9453,4,Less_Than_5
9454,4,Less_Than_5
9455,3,Less_Than_5
9456,3,Less_Than_5
9457,3,Less_Than_5
9458,3,Less_Than_5
9459,3,Less_Than_5
9460,4,Less_Than_5
9461,4,Less_Than_5
9462,4,Less_Than_5
9463,4,Less_Than_5
9464,4,Less_Than_5
9465,4,Less_Than_5
9466,4,Less_Than_5
9467,4,Less_Than_5
9474,6,More_Than_5
9509,6,More_Than_5
9510,6,More_Than_5
9511,7,More_Than_5
9512,7,More_Than_5
9513,7,More_Than_5
9514,7,More_Than_5
9515,7,More_Than_5
9516,7,More_Than_5
9517,6,More_Than_5
9518,8,More_Than_5
9519,7,More_Than_5
9520,7,More_Than_5
9521,7,More_Than_5
9522,7,More_Than_5
9523,7,More_Than_5
9524,7,More_Than_5
9525,6,More_Than_5
9526,7,More_Than_5
9527,6,More_Than_5
9529,6,More_Than_5
9531,6,More_Than_5
9532,6,More_Than_5
9533,6,More_Than_5
9535,6,More_Than_5
9536,7,More_Than_5
9537,7,More_Than_5
9538,7,More_Than_5
9539,6,More_Than_5
9576,6,More_Than_5
9580,6,More_Than_5
9587,6,More_Than_5
9589,6,More_Than_5
9593,6,More_Than_5
9594,6,More_Than_5
9596,6,More_Than_5
9598,6,More_Than_5
9599,6,More_Than_5
9600,6,More_Than_5
9601,6,More_Than_5
9602,6,More_Than_5
9603,6,More_Than_5
9604,6,More_Than_5
9605,6,More_Than_5
9606,7,More_Than_5
9607,6,More_Than_5
9608,7,More_Than_5
9609,6,More_Than_5
9610,7,More_Than_5
9611,7,More_Than_5
9612,7,More_Than_5
9613,6,More_Than_5
9614,7,More_Than_5
9616,7,More_Than_5
9617,6,More_Than_5
9618,7,More_Than_5
9624,6,More_Than_5
9663,6,More_Than_5
9665,7,More_Than_5
9666,6,More_Than_5
9667,7,More_Than_5
9669,6,More_Than_5
9670,7,More_Than_5
9671,6,More_Than_5
9672,6,More_Than_5
9673,6,More_Than_5
9674,6,More_Than_5
9675,8,More_Than_5
9676,6,More_Than_5
9678,6,More_Than_5
9679,6,More_Than_5
9681,6,More_Than_5
9686,7,More_Than_5
9688,6,More_Than_5
9689,6,More_Than_5
9692,6,More_Than_5
9697,6,More_Than_5
9698,6,More_Than_5
9699,6,More_Than_5
9700,6,More_Than_5
9701,6,More_Than_5
9702,6,More_Than_5
9703,6,More_Than_5
9704,6,More_Than_5
9705,6,More_Than_5
9706,6,More_Than_5
9732,6,More_Than_5
9735,6,More_Than_5
9738,6,More_Than_5
9744,6,More_Than_5
10004,6,More_Than_5
10009,6,More_Than_5
10011,6,More_Than_5
10018,6,More_Than_5
10019,6,More_Than_5
10020,6,More_Than_5
10022,6,More_Than_5
10023,6,More_Than_5
10025,6,More_Than_5
10229,6,More_Than_5
10272,6,More_Than_5
10273,6,More_Than_5
10276,6,More_Than_5
10503,6,More_Than_5
10568,6,More_Than_5
10571,6,More_Than_5
10572,6,More_Than_5
10573,6,More_Than_5
10574,6,More_Than_5
10575,6,More_Than_5
10576,7,More_Than_5
10577,6,More_Than_5
10578,7,More_Than_5
10580,6,More_Than_5
10581,6,More_Than_5
10583,6,More_Than_5
10584,6,More_Than_5
10737,4,Less_Than_5
10784,6,More_Than_5
10791,4,Less_Than_5
10792,4,Less_Than_5
10793,4,Less_Than_5
10794,4,Less_Than_5
10795,4,Less_Than_5
10796,4,Less_Than_5
10797,4,Less_Than_5
10798,4,Less_Than_5
10799,4,Less_Than_5
10801,4,Less_Than_5
